feature,mean_abs_shap
TYPE_DECLARATION,0.020147110790409227
# of Files,0.018962484422238867
Average number of files,0.01868276120874502
SINGLE_VARIABLE_DECLARATION,0.01762837438073058
TYPE,0.016568457046164456
METHOD_DECLARATION,0.015343481142044322
LOC Right Side,0.01512680335828145
FIELD_DECLARATION,0.014675042059185059
LOC Left Side,0.014234231529114391
refactoryCount,0.014056248336786013
refType_Add Parameter,0.01380674564284096
# Previous Refactorings,0.012925077835833024
refType_Change Parameter Type,0.012740491273132292
ANNOTATION,0.011860467077714683
Dev Refactoring Experience,0.011606666908977416
refType_Change Variable Type,0.010961414369211067
# of left side locations,0.01069494348339099
Age,0.010586415730754568
Dev Refactoring Commit Experience,0.010303123040162811
# of right side locations,0.010203633477808182
# of Refactorings,0.01001579000577504
refType_Change Attribute Type,0.009841541821663398
VARIABLE_DECLARATION_STATEMENT,0.008672593620428435
refType_Change Return Type,0.00863389089702892
# of unique code elements,0.008062167472002309
refType_Change Method Access Modifier,0.006930261601774663
refType_Add Method Annotation,0.006641189230753214
EXPRESSION_STATEMENT,0.005928030449669263
refType_Rename Method,0.005822125662762416
refType_Rename Class,0.005750769980094622
METHOD_INVOCATION,0.005484630980448465
refType_Move Class,0.005222614207483377
refType_Extract Variable,0.004906968879563397
refType_Change Attribute Access Modifier,0.00489145412913627
refType_Extract Method,0.004866904735562391
refType_Rename Variable,0.004810671931562785
RETURN_STATEMENT,0.004791503631565548
refType_Rename Attribute,0.004706153059712839
refType_Rename Parameter,0.0046708661159538005
refType_Remove Parameter,0.004228601681955168
BLOCK,0.0035659506277291816
refType_Add Thrown Exception Type,0.003545608745191385
refType_Encapsulate Attribute,0.0034651353329002016
refType_Move Method,0.0032477823526736705
IF_STATEMENT,0.003035936741213523
refType_Add Attribute Modifier,0.00260505282474485
refType_Add Class Annotation,0.002458416442734274
refType_Remove Method Annotation,0.0018742894943498162
refType_Add Variable Modifier,0.001858626786163909
refType_Change Class Access Modifier,0.001840457788828393
refType_Remove Thrown Exception Type,0.0018063495513997354
THROW_STATEMENT,0.0017805603431199017
refType_Add Method Modifier,0.0017572007431889297
refType_Add Parameter Modifier,0.0016052500166680896
refType_Extract And Move Method,0.0015525810519311585
refType_Add Class Modifier,0.0015175916916805136
refType_Remove Attribute Modifier,0.001477571396129871
refType_Change Thrown Exception Type,0.0014677082763624226
refType_Inline Variable,0.0014167701944118169
TRY_STATEMENT,0.0014167455454914136
ENHANCED_FOR_STATEMENT,0.0014069836151112266
refType_Move Attribute,0.0012571835363137003
refType_Parameterize Variable,0.0012528133422570651
CATCH_CLAUSE,0.0012065941688761059
refType_Inline Method,0.000997116575142922
refType_Remove Method Modifier,0.0009177577818799834
refType_Modify Class Annotation,0.0009026871100758199
refType_Replace Attribute With Variable,0.0008563010550896959
refType_Pull Up Method,0.0008368173161847264
refType_Extract Superclass,0.0007648576087113106
refType_Move And Rename Class,0.0007476512833558952
refType_Remove Class Modifier,0.0007231090235232465
refType_Pull Up Attribute,0.0007207924737192028
refType_Replace Variable With Attribute,0.000673602681317024
refType_Add Attribute Annotation,0.0006480934448203623
refType_Remove Variable Modifier,0.0006223224801539757
refType_Extract Class,0.0005746691862960278
WHILE_STATEMENT,0.0005611381182166356
refType_Move And Rename Method,0.0005344532537455763
refType_Localize Parameter,0.00052814957801826
refType_Move Source Folder,0.0005140491246619719
FOR_STATEMENT,0.0005075246117691594
refType_Modify Method Annotation,0.0004862141871605729
refType_Extract Interface,0.0004532187894038778
refType_Move And Inline Method,0.0004530303758759917
refType_Remove Parameter Modifier,0.000415734436097321
FINALLY_BLOCK,0.0004032996597973954
refType_Push Down Method,0.0003577480022227784
ENUM_CONSTANT_DECLARATION,0.00035397536099076747
refType_Parameterize Attribute,0.0003421267571533753
refType_Extract Attribute,0.0003344512818065098
CONTINUE_STATEMENT,0.00032044811907475394
IF_STATEMENT_CONDITION,0.0003123583821628293
VARIABLE_DECLARATION_EXPRESSION,0.0003114101271080752
refType_Add Variable Annotation,0.00028309703056610494
SYNCHRONIZED_STATEMENT,0.0002821875175234315
refType_Remove Class Annotation,0.0002801676910341644
refType_Move Package,0.0002606793970310657
BREAK_STATEMENT,0.00025645974043318374
refType_Change Type Declaration Kind,0.0002440406097078477
refType_Reorder Parameter,0.00024232740672091823
refType_Move And Rename Attribute,0.00021892567295192267
SWITCH_STATEMENT,0.00020780259007515374
refType_Modify Attribute Annotation,0.00019913737025353175
refType_Rename Package,0.00018170664768269365
refType_Split Parameter,0.00017463485778207116
SWITCH_CASE,0.0001690769397967664
refType_Merge Variable,0.00016853324255189402
refType_Split Attribute,0.00016499050967380078
refType_Push Down Attribute,0.00015650444988165332
refType_Merge Parameter,0.00014671056470839708
LAMBDA_EXPRESSION,0.0001323560262678932
ANONYMOUS_CLASS_DECLARATION,0.00013017042129249054
refType_Replace Anonymous With Lambda,0.00011643026627310366
refType_Remove Attribute Annotation,9.96306752199107e-05
DO_STATEMENT,9.612714553968889e-05
refType_Collapse Hierarchy,9.170901409476848e-05
refType_Merge Attribute,8.946856819150169e-05
refType_Add Parameter Annotation,8.587062303512667e-05
refType_Extract Subclass,8.222752103647233e-05
SUPER_METHOD_INVOCATION,6.284690686529435e-05
refType_Modify Parameter Annotation,5.2709174959509553e-05
ENHANCED_FOR_STATEMENT_EXPRESSION,5.247316806874265e-05
LAMBDA_EXPRESSION_BODY,4.5428220492224806e-05
CONSTRUCTOR_INVOCATION,4.326153315833797e-05
refType_Remove Variable Annotation,4.1142853719035556e-05
ASSERT_STATEMENT,3.853376110700954e-05
ENHANCED_FOR_STATEMENT_PARAMETER_NAME,3.586978876750444e-05
TRY_STATEMENT_RESOURCE,3.095762626032927e-05
refType_Remove Parameter Annotation,2.4346706470638822e-05
refType_Split Variable,2.4102766462686417e-05
refType_Replace Loop With Pipeline,2.2722886817109364e-05
refType_Merge Package,2.076860774957584e-05
refType_Split Package,1.7548527277165813e-05
refType_Replace Attribute,1.579532957667997e-05
FOR_STATEMENT_CONDITION,1.3098332552455538e-05
FOR_STATEMENT_INITIALIZER,1.094656099790859e-05
SUPER_CONSTRUCTOR_INVOCATION,8.807938479532505e-06
CATCH_CLAUSE_EXCEPTION_NAME,7.251068588478217e-06
WHILE_STATEMENT_CONDITION,3.7283995245788582e-06
refType_Modify Variable Annotation,3.453780591360719e-06
DO_STATEMENT_CONDITION,2.8679429258571375e-06
FOR_STATEMENT_UPDATER,2.2374973213572947e-06
EMPTY_STATEMENT,1.2631854550374042e-06
SWITCH_STATEMENT_CONDITION,7.119178719442645e-07
LABELED_STATEMENT,0.0
SYNCHRONIZED_STATEMENT_EXPRESSION,0.0
