feature,mean_abs_shap
TYPE_DECLARATION,0.22880536895245313
Dev Refactoring Experience,0.21745204105973243
# Previous Refactorings,0.2021630633622408
# of Files,0.19967705849558115
LOC Left Side,0.17606114894151687
Average number of files,0.14880306497216225
Dev Refactoring Commit Experience,0.13619501553475857
SINGLE_VARIABLE_DECLARATION,0.13604647442698478
refType_Add Parameter,0.13542031422257422
Age,0.13463215194642544
ANNOTATION,0.13319837797898798
TYPE,0.13239150084555149
LOC Right Side,0.12392287254333496
refType_Change Parameter Type,0.11468046288937331
# of Refactorings,0.110062300786376
# of unique code elements,0.10686099268496037
FIELD_DECLARATION,0.10562631897628308
METHOD_DECLARATION,0.0991486145183444
refType_Change Variable Type,0.09740703799761832
VARIABLE_DECLARATION_STATEMENT,0.08880392741411924
# of right side locations,0.08688229769468307
# of left side locations,0.0738676529377699
refType_Change Attribute Type,0.06572618540376425
EXPRESSION_STATEMENT,0.06122367177158594
refType_Rename Method,0.060596138285472986
refType_Change Method Access Modifier,0.05771364951506257
RETURN_STATEMENT,0.05515847457572818
refactoryCount,0.05459579136222601
refType_Rename Variable,0.05449082851409912
refType_Extract Method,0.05085339474026114
refType_Rename Attribute,0.0408469557762146
refType_Change Return Type,0.04052304727956653
METHOD_INVOCATION,0.0386867580935359
refType_Extract Variable,0.038546444242820145
refType_Rename Parameter,0.03803248098120093
refType_Change Attribute Access Modifier,0.0356178310001269
refType_Encapsulate Attribute,0.033350130962207916
BLOCK,0.0307543519185856
refType_Add Thrown Exception Type,0.030656691687181593
refType_Move Class,0.02806247128173709
refType_Move Method,0.025761394063010812
refType_Add Method Annotation,0.023148243548348546
refType_Remove Parameter,0.02246051742695272
THROW_STATEMENT,0.02159735094755888
refType_Rename Class,0.02133880406618118
refType_Change Class Access Modifier,0.020454318111296742
refType_Extract And Move Method,0.020046992576681077
IF_STATEMENT,0.01877030348405242
TRY_STATEMENT,0.014526083659438882
refType_Add Parameter Modifier,0.013946045009652153
refType_Add Class Annotation,0.013428305696288589
refType_Add Attribute Modifier,0.013255228789057582
ENHANCED_FOR_STATEMENT,0.013015312294010073
refType_Add Variable Modifier,0.011774224283362856
refType_Inline Variable,0.011600394400011283
refType_Add Class Modifier,0.01067293198502739
refType_Move Attribute,0.009524951130151749
refType_Parameterize Variable,0.009259918209863827
refType_Add Method Modifier,0.008567244885489345
refType_Remove Attribute Modifier,0.007859061841736547
refType_Remove Method Annotation,0.006806108912860509
CATCH_CLAUSE,0.006188602297334001
refType_Inline Method,0.005683980934554711
refType_Replace Attribute With Variable,0.00541633427033048
refType_Add Attribute Annotation,0.004995188390239491
refType_Remove Method Modifier,0.0049076186114689335
refType_Change Thrown Exception Type,0.004711431637406349
refType_Remove Thrown Exception Type,0.004415685147978366
refType_Extract Superclass,0.004045247734757141
refType_Pull Up Method,0.003628943199146306
refType_Remove Parameter Modifier,0.0035311541050759843
WHILE_STATEMENT,0.0032458931247674625
refType_Modify Method Annotation,0.0030500069151457865
refType_Pull Up Attribute,0.002841296580299968
refType_Remove Variable Modifier,0.002758896981390535
refType_Extract Interface,0.002644179818162229
refType_Move And Rename Class,0.002624578314134851
refType_Remove Class Modifier,0.0026185085145698393
refType_Move Source Folder,0.0023730745597276837
refType_Localize Parameter,0.0023013112215267027
refType_Modify Attribute Annotation,0.002299631404457614
refType_Move And Rename Method,0.0022291069006314503
IF_STATEMENT_CONDITION,0.0022025708766705066
CONTINUE_STATEMENT,0.002154873000108637
refType_Extract Class,0.002117422406809055
refType_Replace Variable With Attribute,0.002005384454969317
ENUM_CONSTANT_DECLARATION,0.0019010634932783432
refType_Replace Anonymous With Lambda,0.0018264632672071457
FINALLY_BLOCK,0.0016683414638464455
refType_Modify Class Annotation,0.0016492349459440447
refType_Add Variable Annotation,0.0015030419857339438
refType_Reorder Parameter,0.001477451517712325
refType_Extract Attribute,0.0013897048513172195
refType_Parameterize Attribute,0.0012889806317161856
refType_Move And Inline Method,0.0012572035288030748
