feature,average_importance
leftLocationDiff,0.04460741332996465
rightLocationDiff,0.04243932537046584
dev_ref_exp,0.04020602090427597
num_touched_before,0.03863974533611647
dev_ref_com_exp,0.0370629615925497
METHOD_DECLARATION,0.0332897721691512
fileTouchCount,0.030592800633110945
age,0.030066915567812585
refactoryCount,0.029892593095485302
TYPE_DECLARATION,0.029819374385364045
leftLocationCount,0.029344638817220502
SINGLE_VARIABLE_DECLARATION,0.029182033709211453
rightLocationCount,0.02907824466514508
fileTouchAverage,0.026158760344938737
FIELD_DECLARATION,0.024720800510809375
refactoryTypeCount,0.023381363165975107
VARIABLE_DECLARATION_STATEMENT,0.02303922513085215
TYPE,0.02215541633129294
codeElementCount,0.01960342040754616
refType_Change Variable Type,0.01950668456753951
refType_Change Parameter Type,0.019027789213287606
refType_Add Parameter,0.018867297711484023
ANNOTATION,0.01815447558501771
refType_Change Attribute Type,0.015081657359853281
refType_Change Return Type,0.015060213006941792
EXPRESSION_STATEMENT,0.014263380906056064
refType_Rename Method,0.011956365197309091
METHOD_INVOCATION,0.011948581115667049
refType_Rename Variable,0.011701113471213772
refType_Change Method Access Modifier,0.011626063082284102
refType_Rename Parameter,0.010403691402475884
refType_Extract Variable,0.010368862749867544
refType_Extract Method,0.01019732770931563
RETURN_STATEMENT,0.009808870772392534
refType_Add Method Annotation,0.009635692463372548
refType_Rename Attribute,0.009598757699676868
refType_Move Class,0.008349273001857916
refType_Remove Parameter,0.008238487572655937
refType_Change Attribute Access Modifier,0.008180381126905537
refType_Rename Class,0.008011530108671967
IF_STATEMENT,0.007981648979165413
BLOCK,0.007825522804121117
refType_Encapsulate Attribute,0.006399985786663606
refType_Add Thrown Exception Type,0.00635828348250554
refType_Move Method,0.005980736289682638
refType_Add Attribute Modifier,0.005187834352004758
refType_Extract And Move Method,0.0040035232283080705
refType_Add Method Modifier,0.0039019182570116627
THROW_STATEMENT,0.0038752786381970896
refType_Add Class Annotation,0.003804621113225378
refType_Add Variable Modifier,0.00373394569725955
ENHANCED_FOR_STATEMENT,0.0036883750000667173
refType_Remove Thrown Exception Type,0.0036821212830092597
refType_Remove Method Annotation,0.0036367760901188555
refType_Inline Variable,0.0036310769480039076
refType_Remove Attribute Modifier,0.003464868473277813
TRY_STATEMENT,0.0034231496001155626
refType_Change Class Access Modifier,0.0031904825079713704
refType_Move Attribute,0.0031619408974747215
refType_Parameterize Variable,0.0031566094305196116
CATCH_CLAUSE,0.003036625086330811
refType_Add Parameter Modifier,0.0028663746853849516
refType_Add Class Modifier,0.0027070723154308768
refType_Change Thrown Exception Type,0.002574387299065559
refType_Pull Up Method,0.00248266514430798
refType_Remove Method Modifier,0.0023744523766092546
refType_Inline Method,0.0021499947726986587
refType_Replace Attribute With Variable,0.0021154199230518146
refType_Extract Superclass,0.00196574863795216
refType_Replace Variable With Attribute,0.001931248636231538
refType_Pull Up Attribute,0.0016974084303306622
refType_Move And Rename Method,0.0016936545033941707
refType_Move And Rename Class,0.001682189172690925
refType_Add Attribute Annotation,0.0016306046036852929
refType_Extract Class,0.0015851457264312002
refType_Remove Variable Modifier,0.0015795838736224759
refType_Modify Class Annotation,0.0015029807140068644
WHILE_STATEMENT,0.0014755745761635423
refType_Localize Parameter,0.0014719160483420888
refType_Remove Class Modifier,0.001437440224246318
FOR_STATEMENT,0.0013701570399325702
refType_Remove Parameter Modifier,0.0011342775693905815
refType_Move And Inline Method,0.0011299838641391524
FINALLY_BLOCK,0.0011251801064829407
refType_Extract Interface,0.001102601767619623
refType_Modify Method Annotation,0.0010986972017567576
ENUM_CONSTANT_DECLARATION,0.0009895527441210947
refType_Push Down Method,0.0009344878416043447
refType_Move Source Folder,0.0009083209090199322
VARIABLE_DECLARATION_EXPRESSION,0.0008703042238258236
refType_Parameterize Attribute,0.0008475710662805716
refType_Extract Attribute,0.0008262182171996227
SYNCHRONIZED_STATEMENT,0.0008134941182576926
IF_STATEMENT_CONDITION,0.0008047992959014927
CONTINUE_STATEMENT,0.0007099127219522411
BREAK_STATEMENT,0.0007047448542260722
refType_Remove Class Annotation,0.0006887330349399332
refType_Add Variable Annotation,0.0006435130885043735
refType_Reorder Parameter,0.0005650104765297602
refType_Change Type Declaration Kind,0.0005615523241914678
SWITCH_STATEMENT,0.0005556586370457791
refType_Move And Rename Attribute,0.00048297498262133776
refType_Push Down Attribute,0.00047968146052225074
refType_Split Parameter,0.00046731102295628367
refType_Merge Parameter,0.0004634865990196059
refType_Split Attribute,0.0004504287572686111
refType_Merge Variable,0.0004438540129615717
SWITCH_CASE,0.0004382463477066471
refType_Rename Package,0.0004219887330480747
refType_Modify Attribute Annotation,0.00041915986094287467
refType_Move Package,0.000348416972522855
refType_Replace Anonymous With Lambda,0.00031235590343944793
ANONYMOUS_CLASS_DECLARATION,0.0003120669095426235
LAMBDA_EXPRESSION,0.0003001050294526372
refType_Remove Attribute Annotation,0.00029496074616335363
refType_Extract Subclass,0.00028560090438507627
refType_Merge Attribute,0.0002430925082822203
DO_STATEMENT,0.00022985378761505303
refType_Add Parameter Annotation,0.00022151931085380317
refType_Collapse Hierarchy,0.00018063611925531555
CONSTRUCTOR_INVOCATION,0.00016874334229669444
SUPER_METHOD_INVOCATION,0.00015371688334083332
refType_Remove Variable Annotation,0.00012905355612866497
LAMBDA_EXPRESSION_BODY,0.0001220080729470774
ASSERT_STATEMENT,0.00011028715002799328
refType_Modify Parameter Annotation,0.00010741723399947791
ENHANCED_FOR_STATEMENT_EXPRESSION,0.00010553030810625565
ENHANCED_FOR_STATEMENT_PARAMETER_NAME,8.624355961834757e-05
TRY_STATEMENT_RESOURCE,7.490776079267954e-05
refType_Split Variable,6.62427644820921e-05
refType_Replace Loop With Pipeline,6.39968415366878e-05
refType_Remove Parameter Annotation,6.232140347565084e-05
refType_Merge Package,5.474580251528435e-05
FOR_STATEMENT_CONDITION,4.389656830734778e-05
refType_Replace Attribute,3.460751386938475e-05
refType_Split Package,3.172251341002603e-05
FOR_STATEMENT_INITIALIZER,2.2152294613668674e-05
CATCH_CLAUSE_EXCEPTION_NAME,2.208252041733492e-05
SUPER_CONSTRUCTOR_INVOCATION,1.2600117731512937e-05
WHILE_STATEMENT_CONDITION,7.626272595181436e-06
DO_STATEMENT_CONDITION,6.511691741382879e-06
refType_Modify Variable Annotation,5.911986438124853e-06
EMPTY_STATEMENT,4.606768881791482e-06
FOR_STATEMENT_UPDATER,4.347390728480889e-06
SWITCH_STATEMENT_CONDITION,1.701710702205727e-06
LABELED_STATEMENT,0.0
SYNCHRONIZED_STATEMENT_EXPRESSION,0.0
