vcs_url,rename_parameter,rename_method,extract_and_move_method,rename_variable,extract_method,change_variable_type,change_return_type,extract_attribute,rename_class,extract_variable,move_class,inline_variable,extract_superclass,pull_up_method,move_and_rename_class,parametrize_variable,inline_method,extract_class,move_method,rename_attribute,move_attribute,split_attribute,replace_variable_with_attribute,pull_up_attribute,push_down_method,extract_interface,extract_subclass,merge_attribute,move_and_rename_attribute,merge_parameter,merge_variable,replace_attribute,push_down_attribute,split_parameter,split_variable
https://github.com/apache/commons-math,51,388,55,170,72,1679,115,116,68,61,685,6,14,192,8,7,4,14,120,13,98,4,8,41,5,1,,,,,,,,,
https://github.com/apache/ant-ivy,6,44,32,31,70,223,30,29,7,16,111,12,4,10,4,,,2,47,51,22,1,3,1,,,,,,,,,,,
https://github.com/apache/commons-bcel.git,1,2,,2,5,22,2,2,1,,63,1,1,,,,,,,,,,,,,,,,,,,,,,
https://github.com/apache/commons-beanutils.git,1,11,1,3,5,205,76,15,3,1,54,,,,,1,,,1,,4,,,,,,,,,,,,,,
https://github.com/apache/commons-codec.git,8,83,1,24,28,21,12,1,9,2,8,,,3,,1,4,1,10,2,14,,,,,,,,,,,,,,
https://github.com/apache/commons-collections.git,20,396,6,44,142,1495,480,122,215,13,240,2,20,24,12,,3,3,11,5,1,,10,1,4,2,2,,,,,,,,
https://github.com/apache/cayenne.git,23,451,22,112,84,1269,333,265,407,44,131,11,23,16,83,1,12,43,252,39,143,,79,21,3,,,1,1,,,,,,
https://github.com/apache/commons-compress.git,,67,24,19,49,50,1,4,7,32,1,1,1,4,2,6,2,3,11,,1,,3,2,,,,,,,,,,,
https://github.com/apache/commons-dbcp.git,6,23,2,32,23,41,6,2,1,18,12,,1,18,1,,1,,1,11,1,,,2,,,,,,,,,,,
https://github.com/apache/commons-configuration.git,11,93,2,67,153,902,61,31,12,25,189,4,2,8,4,3,37,6,77,18,33,1,13,2,1,,,,,1,,,,,
https://github.com/apache/archiva.git,41,208,86,243,270,971,161,85,35,90,88,5,30,140,3,15,25,9,94,72,61,1,19,154,3,,,1,,2,1,,,,
https://github.com/apache/commons-io.git,5,142,6,8,27,122,32,18,17,6,2,,3,21,2,,3,1,27,1,,,,7,,,,,,,,,,,
https://github.com/apache/commons-digester.git,2,10,,7,1,113,12,2,9,,44,,,,,,1,,,1,,,5,,,,,,,,,,,,
